id,pair,direction,open_time,close_time,position_open_price,position_close_price,runup,drawdown,net_profit,lowest_price,highest_price,rev_direction
265,STEEMUSDT,long,2023-11-26 23:48:08,2023-11-26 23:50:05,0.2693,0.269,-0.15,-0.19,-0.19,0.26900377,0.26911148999999995,short
266,EOSUSDT,long,2023-11-26 23:38:08,2023-11-26 23:51:06,0.701,0.699,-0.08,-0.37,-0.37,0.6989671,0.701,short
267,RNDRUSDT,long,2023-11-26 23:48:08,2023-11-26 23:51:06,3.3188,3.3123,-0.21,-0.3,-0.28,3.31149864,3.31448556,short
268,MINAUSDT,short,2023-11-26 23:47:07,2023-11-26 23:52:06,0.7539,0.7533,0.23,-0.11,0.0,0.75156291,0.75412617,long
269,NTRNUSDT,long,2023-11-26 23:46:07,2023-11-26 23:53:05,0.5122,0.5096,-0.06,-0.69,-0.59,0.50907558,0.51230244,short
270,EGLDUSDT,short,2023-11-26 23:49:07,2023-11-26 23:54:05,45.24,45.25,0.14,-0.1,-0.1,45.140472,45.249048,long
271,PEOPLEUSDT,long,2023-11-26 23:33:07,2023-11-26 23:55:06,0.01254,0.01261,0.64,-0.16,0.48,0.012529968,0.012630288000000002,short
272,DYDXUSDT,long,2023-11-26 23:52:07,2023-11-26 23:55:06,3.445,3.439,0.09,-0.31,-0.25,3.4370765,3.4508565,short
273,HOTUSDT,long,2023-11-26 23:54:07,2023-11-26 23:55:06,0.001616,0.001614,-0.08,-0.2,-0.2,0.0016140608000000001,0.001616,short
274,AGLDUSDT,short,2023-11-26 23:47:07,2023-11-26 23:56:05,0.9278,0.9278,0.17,-0.14,-0.08,0.9254805,0.9283566799999999,long
275,FXSUSDT,long,2023-11-26 23:56:06,2023-11-26 23:57:06,7.289,7.288,-0.09,-0.09,-0.09,7.2882711,7.2882711,short
276,GALAUSDT,long,2023-11-26 23:54:07,2023-11-26 23:59:05,0.02733,0.0272,-0.08,-0.56,-0.56,0.027198816,0.02733,short
277,IOTXUSDT,long,2023-11-26 23:54:07,2023-11-27 00:00:05,0.02521,0.02517,-0.12,-0.32,-0.24,0.025149496,0.025199916,short
278,STEEMUSDT,long,2023-11-26 23:58:07,2023-11-27 00:02:06,0.2695,0.2684,0.55,-0.56,-0.49,0.2682064,0.27119785,short
279,AGLDUSDT,short,2023-11-27 00:00:07,2023-11-27 00:02:06,0.9255,0.9269,-0.06,-0.3,-0.23,0.9253149,0.9275361,long
280,USDCUSDT,short,2023-11-26 23:59:07,2023-11-27 00:04:05,0.99884,0.99904,-0.08,-0.1,-0.1,0.99884,0.9990397679999999,long
281,FLOWUSDT,long,2023-11-27 00:02:07,2023-11-27 00:06:05,0.696,0.693,0.64,-0.65,-0.51,0.6920327999999999,0.7010112000000001,short
282,SLPUSDT,long,2023-11-27 00:05:07,2023-11-27 00:06:06,0.002531,0.002529,0.0,-0.24,-0.16,0.0025269503999999997,0.0025330247999999994,short
283,POWRUSDT,short,2023-11-26 23:49:07,2023-11-27 00:08:06,0.2694,0.2685,0.37,-0.27,0.25,0.2681877,0.26991186,long
284,XMRUSDT,short,2023-11-27 00:03:08,2023-11-27 00:08:06,169.31,169.25,-0.02,-0.12,-0.04,169.208414,169.377724,long
285,PERPUSDT,short,2023-11-27 00:03:08,2023-11-27 00:08:06,0.6647,0.6625,0.36,-0.11,0.25,0.66177532,0.66489941,long
286,QTUMUSDT,short,2023-11-27 00:04:07,2023-11-27 00:08:06,3.204,3.188,0.67,-0.08,0.42,3.1799700000000004,3.204,long
287,SNXUSDT,short,2023-11-27 00:06:08,2023-11-27 00:08:06,3.422,3.43,-0.05,-0.31,-0.31,3.4209734000000003,3.4298706,long
288,TUSDT,short,2023-11-27 00:07:07,2023-11-27 00:08:06,0.02338,0.02339,-0.12,-0.12,-0.12,0.023389352000000002,0.023389352000000002,long
289,RUNEUSDT,short,2023-11-27 00:03:08,2023-11-27 00:09:05,5.251,5.256,0.07,-0.18,-0.18,5.2431235,5.256251,long
290,MINAUSDT,short,2023-11-27 00:04:07,2023-11-27 00:09:05,0.754,0.7495,1.14,-0.13,0.52,0.7448012,0.754377,long
291,BATUSDT,short,2023-11-27 00:06:07,2023-11-27 00:09:05,0.2148,0.2156,0.01,-0.5,-0.45,0.21460668,0.21570215999999998,long
292,CELRUSDT,short,2023-11-27 00:06:08,2023-11-27 00:09:05,0.01497,0.01505,0.05,-0.61,-0.61,0.014950539,0.015049341000000003,long
293,AGIXUSDT,short,2023-11-27 00:06:08,2023-11-27 00:09:06,0.3073,0.3093,-0.05,-0.73,-0.73,0.30720781,0.30929745000000003,long
294,EGLDUSDT,short,2023-11-27 00:06:08,2023-11-27 00:09:06,45.08,45.25,0.01,-0.48,-0.46,45.039428,45.26032,long
295,FRONTUSDT,short,2023-11-27 00:06:08,2023-11-27 00:09:06,0.3355,0.3367,-0.05,-0.44,-0.44,0.33539935000000004,0.33670780000000006,long
296,STEEMUSDT,short,2023-11-27 00:08:08,2023-11-27 00:09:06,0.2663,0.2667,-0.12,-0.31,-0.23,0.26640652,0.26691248999999995,long
297,IDEXUSDT,short,2023-11-27 00:08:08,2023-11-27 00:09:06,0.05916,0.05934,-0.11,-0.38,-0.38,0.059177747999999995,0.05933747999999999,long
298,BANDUSDT,short,2023-11-27 00:03:08,2023-11-27 00:10:05,1.4403,1.4412,0.2,-0.4,-0.14,1.4362671599999999,1.44490896,long
299,ICXUSDT,short,2023-11-27 00:06:08,2023-11-27 00:10:05,0.2564,0.2572,0.0,-0.55,-0.39,0.25619488,0.25760508,long
